Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1041463618515230721,"#LaLiga ? #Guadalupe
#VamosLeón? https://t.co/8xkdPxPZzD",L.D.A., @ldacr ,Sun Sep 16 23:07:30 +0000 2018,41,3,Undetermined,Twitter for iPhone,Tweet,Photo,0,3,0
1041468523879522304,"? 17’. #LaLiga ? #Guadalupe
Dominamos las acciones del partido ante un rival que todavía no logra un ataque de peligro en nuestro arco. 
#VamosLeón ? https://t.co/oWmkTQVn1Z",L.D.A., @ldacr ,Sun Sep 16 23:27:00 +0000 2018,29,3,Spanish,Twitter for iPhone,Tweet,Photo,0,3,0
1041469152949624833,"?19’. #LaLiga ? #Guadalupe
¡Gooooool! @mcdonald1987 pone el 1-0 en el juego. 
PD: Vamos a tener que hacer fotos diferentes de celebración de Mac, se repite mucho. ?
#VamosLeón ? https://t.co/tQ3BGID6yk",L.D.A., @ldacr ,Sun Sep 16 23:29:30 +0000 2018,142,22,Spanish,Twitter for iPhone,Tweet,Photo,0,3,1
1041470503041544193,"Para los que no lo vieron ?? 
#VamosLeón ? https://t.co/FbMSx81pfV",L.D.A., @ldacr ,Sun Sep 16 23:34:52 +0000 2018,241,30,Spanish,Twitter for iPhone,Tweet,Video,0,1,0
1041473195793108993,"?35’. #LaLiga ? #Guadalupe
¡Paaaaaalo! @mcdonald1987 estrelló la redonda en el horizontal. ?
#VamosLeón ?",L.D.A., @ldacr ,Sun Sep 16 23:45:34 +0000 2018,22,1,Spanish,Twitter for iPhone,Tweet,,0,3,1
1041473401943216129,@Quela26 @deporterepretel Hay que venir manuda ?,L.D.A., @ldacr ,Sun Sep 16 23:46:23 +0000 2018,0,0,Spanish,Twitter for iPhone,Reply,,0,0,2
1041473658529763328,@gviquezcr @mcdonald1987 Sin duda. Y de Moya ??,L.D.A., @ldacr ,Sun Sep 16 23:47:24 +0000 2018,0,0,Spanish,Twitter for iPhone,Reply,,0,0,2
1041474760406917120,"? 42’. #LaLiga ? #Guadalupe
¡Goooooooool! Mac marca su doblete, gran pase de @Lpz10alex ? Marcador: 2-0.
#VamosLeón ? https://t.co/WWn0PU3Cqn",L.D.A., @ldacr ,Sun Sep 16 23:51:47 +0000 2018,164,15,Spanish,Twitter for iPhone,Tweet,Photo,0,3,1
1041475413120360448,"Les presentamos el goleador de la primera vuelta del Apertura 2018. 
Ya suma 9 goles ????????????
#VamosLeón ? https://t.co/XaP51rF8K8",L.D.A., @ldacr ,Sun Sep 16 23:54:22 +0000 2018,377,37,Spanish,Twitter for iPhone,Tweet,Photo,0,1,0
1041476315189260288,Nos vamos al descanso. ??#VamosLeón ? https://t.co/R9WmMYqma1,L.D.A., @ldacr ,Sun Sep 16 23:57:57 +0000 2018,84,6,Spanish,Twitter for iPhone,Tweet,Photo,0,1,0
